SET,DAG,MODEL,K_EDGE,N_FEAT,FEATURE_KEY,AUROC,AUPRC,F1,Brier,ECE
OF,GES,XGBoost,24,37,b5832dd67cdef271,0.9400416874742167,0.4701238562863362,0.5,0.015787825548602454,0.01144930256783456
OF,GES,RF,24,37,b5832dd67cdef271,0.9296071534547771,0.4301574088620084,0.38144329896907214,0.015990022924238186,0.005646072127481129
OF,GES,LightGBM,24,37,b5832dd67cdef271,0.9284365025946111,0.4682520707706687,0.5103448275862069,0.016948663004421327,0.016799614116078672
OF,GES,Logit,24,37,b5832dd67cdef271,0.9206816191530784,0.24624156430705235,0.3488372093023256,0.01986376694299083,0.010715235679887618
OF,GES,FFMLP,24,37,b5832dd67cdef271,0.8788132097183925,0.25365682785010196,0.3724137931034483,0.019228870282227403,0.007293853445329044
OF,GES,RF,25,38,194007dcdcd65c9b,0.9375031663663143,0.43494853500308,0.3953488372093023,0.0160237070170534,0.005854067654459043
OF,GES,XGBoost,25,38,194007dcdcd65c9b,0.9374398390400301,0.46981595502569606,0.49333333333333335,0.015751833471688,0.01190129969595013
OF,GES,LightGBM,25,38,194007dcdcd65c9b,0.9226501943244241,0.46540038312417986,0.5034013605442177,0.017024198465972643,0.016848733441021238
OF,GES,Logit,25,38,194007dcdcd65c9b,0.9202365185169102,0.24125766234042892,0.27586206896551724,0.01994376669173404,0.010756801835548075
OF,GES,FFMLP,25,38,194007dcdcd65c9b,0.9009705365091083,0.2747853316718556,0.36619718309859156,0.01902462024912538,0.007032629970522574
OF,GES,XGBoost,26,39,6be7cf554753353e,0.93525052290278,0.4684667304697764,0.48951048951048953,0.01594302747436058,0.010959945990906302
OF,GES,LightGBM,26,39,6be7cf554753353e,0.925820179342988,0.47185593857338803,0.43103448275862066,0.0169168723199724,0.017222918718727484
OF,GES,RF,26,39,6be7cf554753353e,0.9208354140883398,0.4201599759145288,0.3829787234042553,0.01609765278166061,0.004566955549343027
OF,GES,Logit,26,39,6be7cf554753353e,0.919436784853551,0.2457941534613106,0.3055555555555556,0.019838062182313897,0.010839060268070595
OF,GES,FFMLP,26,39,6be7cf554753353e,0.8967366524089715,0.26637629037034943,0.36363636363636365,0.0192886073031128,0.008805575369976237
OF,GES,XGBoost,27,40,b5fbcc1d3922e9e2,0.9372444290046391,0.46653750656127235,0.49032258064516127,0.0159352517499539,0.011494487830220834
OF,GES,LightGBM,27,40,b5fbcc1d3922e9e2,0.9297935167292702,0.47478975242081684,0.49230769230769234,0.017067497519821798,0.01707354616498117
OF,GES,Logit,27,40,b5fbcc1d3922e9e2,0.9198058926981783,0.24617745511095976,0.28368794326241137,0.0198180824742332,0.01066392751632475
OF,GES,RF,27,40,b5fbcc1d3922e9e2,0.918150335453894,0.416328431160426,0.3956043956043956,0.016157534246575345,0.005105395582890689
OF,GES,FFMLP,27,40,b5fbcc1d3922e9e2,0.8960418611720259,0.26993677105216113,0.40476190476190477,0.019043863268921872,0.008707611319349402
OF,GES,XGBoost,28,41,07b11b13c21a88e8,0.9397558098298486,0.4735352277253288,0.5095541401273885,0.015610682133375018,0.010402947307561977
OF,GES,RF,28,41,07b11b13c21a88e8,0.9311089157638001,0.4332423546987412,0.4021164021164021,0.015931995526977914,0.00464691081912217
OF,GES,LightGBM,28,41,07b11b13c21a88e8,0.9240035897547243,0.4865707074761812,0.49382716049382713,0.01669204305524035,0.016484321752049155
OF,GES,Logit,28,41,07b11b13c21a88e8,0.9194259287404738,0.2457803331244769,0.3055555555555556,0.019837840999979154,0.010803908043786382
OF,GES,FFMLP,28,41,07b11b13c21a88e8,0.8947789333507031,0.2893764312829163,0.39520958083832336,0.0191676197706538,0.009077052480593505
